date,net_sales_usd
2025-01-01,12637.34
2025-01-02,10629.31
2025-01-03,13151.3
2025-01-04,13606.69
2025-01-05,8737.85
2025-01-06,10077.37
2025-01-07,12677.65
2025-01-08,12000.08
2025-01-09,11803.28
2025-01-10,10450.57
2025-01-11,13645.0
2025-01-12,13528.18
2025-01-13,11978.05
2025-01-14,14248.57
2025-01-15,13146.73
2025-01-16,10682.25
2025-01-17,12877.02
2025-01-18,10668.14
2025-01-19,13639.89
2025-01-20,12044.13
2025-01-21,11589.15
2025-01-22,11090.94
2025-01-23,14009.19
2025-01-24,12411.08
2025-01-25,11525.8
2025-01-26,11825.3
2025-01-27,13322.78
2025-01-28,12979.9
2025-01-29,12933.78
2025-01-30,12683.07
2025-01-31,15918.81
2025-02-01,11543.07
2025-02-02,11489.1
2025-02-03,10972.2
2025-02-04,12959.55
2025-02-05,13883.33
2025-02-06,11718.16
2025-02-07,10891.3
2025-02-08,11037.47
2025-02-09,13289.25
2025-02-10,13333.02
2025-02-11,13027.98
2025-02-12,11378.42
2025-02-13,12550.22
2025-02-14,12334.86
2025-02-15,11985.79
2025-02-16,13172.27
2025-02-17,12747.64
2025-02-18,13348.72
2025-02-19,12634.8
2025-02-20,12793.63
2025-02-21,13137.73
2025-02-22,9600.94
2025-02-23,11851.64
2025-02-24,11594.04
2025-02-25,11658.75
2025-02-26,11796.1
2025-02-27,14826.23
2025-02-28,10934.14
2025-03-01,13943.03
2025-03-02,9531.05
2025-03-03,12057.43
2025-03-04,12787.7
2025-03-05,12660.01
2025-03-06,13624.07
2025-03-07,13712.66
2025-03-08,11231.22
2025-03-09,10810.68
2025-03-10,13832.68
2025-03-11,11976.08
2025-03-12,10084.3
2025-03-13,10001.58
2025-03-14,10950.77
2025-03-15,13048.84
2025-03-16,12253.17
2025-03-17,13205.68
2025-03-18,11600.76
2025-03-19,12482.74
2025-03-20,13506.77
2025-03-21,11758.33
2025-03-22,12989.02
2025-03-23,11089.64
2025-03-24,11743.44
2025-03-25,11483.88
2025-03-26,10061.77
2025-03-27,12942.92
2025-03-28,11370.57
2025-03-29,12207.51
2025-03-30,12967.72
2025-03-31,13074.46
2025-04-01,16449.36
2025-04-02,14980.31
2025-04-03,13658.74
2025-04-04,14979.64
2025-04-05,11644.86
2025-04-06,11311.51
2025-04-07,12847.27
2025-04-08,12856.46
2025-04-09,13177.81
2025-04-10,13554.97
2025-04-11,12859.6
2025-04-12,17664.25
2025-04-13,9721.17
2025-04-14,16249.48
2025-04-15,13185.61
2025-04-16,12955.13
2025-04-17,9405.99
2025-04-18,8804.32
2025-04-19,14340.21
2025-04-20,8962.8
2025-04-21,14122.21
2025-04-22,15442.88
2025-04-23,12097.9
2025-04-24,12386.46
2025-04-25,13654.74
2025-04-26,12958.67
2025-04-27,15126.37
2025-04-28,14081.41
2025-04-29,16636.51
2025-04-30,14490.4
2025-05-01,12697.89
2025-05-02,14906.63
2025-05-03,15559.3
2025-05-04,17329.58
2025-05-05,14992.66
2025-05-06,13796.35
2025-05-07,16992.36
2025-05-08,12054.71
2025-05-09,13442.99
2025-05-10,11483.25
2025-05-11,13888.17
2025-05-12,11041.46
2025-05-13,15342.42
2025-05-14,13835.95
2025-05-15,-2323.67
2025-05-16,2311.93
2025-05-17,10969.08
2025-05-18,10690.81
2025-05-19,18272.87
2025-05-20,18319.12
2025-05-21,9337.45
2025-05-22,8206.88
2025-05-23,10198.7
2025-05-24,-330.84
2025-05-25,13664.25
2025-05-26,8794.5
2025-05-27,13731.98
2025-05-28,2296.22
2025-05-29,16876.94
2025-05-30,7565.41
2025-05-31,14126.79
2025-06-01,-10211.13
2025-06-02,9262.68
2025-06-03,8346.18
2025-06-04,10159.35
2025-06-05,15130.85
2025-06-06,8087.43
2025-06-07,13317.85
2025-06-08,158.74
2025-06-09,12860.31
2025-06-10,-14346.17
2025-06-11,9711.36
2025-06-12,17750.27
2025-06-13,10791.6
2025-06-14,10430.13
2025-06-15,8503.07
2025-06-16,6200.5
2025-06-17,4211.73
2025-06-18,10146.11
2025-06-19,7082.65
2025-06-20,10652.53
2025-06-21,15585.89
2025-06-22,11689.51
2025-06-23,11571.14
2025-06-24,2729.84
2025-06-25,14488.14
2025-06-26,11633.66
2025-06-27,3812.25
2025-06-28,14446.6
2025-06-29,10941.96
2025-06-30,4175.78
